timestamp,,unit,cc_transactions_count,ip_transactions_count,ip_cr,instore_transactions_count,instore_traffic,instore_cr,instore_area,type
25,E04,15,102.9666667,24.9,0.248195806,829.0645161,1799.451613,0.468033414,2118,E
25,E05,16,20.36666667,4.233333333,0.213604051,301.9677419,764.6774194,0.397108262,1300,E
25,E06,17,48.93333333,8.966666667,0.185056157,592.6774194,1496.774194,0.399149437,1658,E
25,E07,18,27.6,3.566666667,0.13436287,343.516129,862.0322581,0.400669754,1291,E
25,E08,19,48.96666667,9.433333333,0.200618731,686.9032258,1981.322581,0.357510061,1740,E
25,E09,20,23.3,3.766666667,0.171494194,363.516129,922.0322581,0.400251054,1194,E
25,E10,21,39.73333333,8.133333333,0.201267486,356.1935484,949.9677419,0.376144786,1194,E
25,E11,22,47.76666667,11.06666667,0.239943703,451.3870968,1132.580645,0.402758812,1580,E
25,E12,23,60.86666667,11.9,0.20434975,687.3548387,1538.354839,0.519729533,2096,E
25,E13,24,146.3,22.96666667,0.163249202,1087.612903,2655.677419,0.410127708,1555,E
25,E14,25,34.66666667,7.9,0.238463403,438.0967742,1196,0.37215567,1465,E
25,E16,1,56.23333333,11.96666667,0.212994335,863.5806452,1887.193548,0.468302621,3903,E
25,E17,7,56.36666667,12.13333333,0.220923846,756.9354839,1742.354839,0.444354543,1882,E
25,P01,11,88.96666667,17.56666667,0.201978857,922.2580645,2170.193548,0.438191878,2790,P
25,P02,13,87.43333333,17.36666667,0.202645219,836.6451613,2177.612903,0.39105842,1850,P
25,P03,2,71.5,14.83333333,0.211739702,1042.064516,2069.258065,0.510593418,5000,P
25,P04,3,83.73333333,18.73333333,0.227637812,980.8709677,2123.096774,0.469882486,1910,P
25,P05,4,84.93333333,17.66666667,0.209445335,1155.612903,2575.903226,0.456710126,3500,P
25,P06,5,83.26666667,19.4,0.236737384,1176.806452,3072.451613,0.390609808,3634,P
25,P07,6,64.66666667,13.76666667,0.219759625,881.3548387,1932.032258,0.536375384,1907,P
25,P08,8,87.9,24.2,0.278161818,1266.387097,2699.322581,0.773511038,5991,P
25,P09,9,142.7,36.9,0.265414295,1380.645161,2888.580645,0.982018393,4624,P
26,E01,10,38.27586207,4.827586207,0.121933382,441.6333333,1080.8,0.409543901,800,E
26,E02,12,52.55172414,10.62068966,0.202206516,671.4666667,1462.033333,0.465872403,1375,E
26,E03,14,36.17241379,8.034482759,0.222797099,545.9666667,1323.3,0.417259183,1507,E
26,E04,15,110.8275862,29.24137931,0.265508083,1093.833333,2291.866667,0.484916317,2118,E
26,E05,16,21.27586207,4.620689655,0.214295548,388.5666667,960.3666667,0.408604161,1300,E
26,E06,17,51.20689655,9.620689655,0.185577535,735.9,1794.533333,0.415148445,1658,E
26,E07,18,34.21428571,5.25,0.155921815,450.4,1105.933333,0.409629695,1291,E
26,E08,19,59.75862069,12.4137931,0.206079926,962.3666667,2603.233333,0.379154928,1740,E
